Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,,86.0,,99,79,109.0,96.0,,112,145.0,64,143,101,109,86,183,137,152,153.0,109.0,107.0,65.0,80.0,85.0,97.0,,156.0,,166.0,159.0,131.0
01:00:00,,,,90,85,95.0,100.0,,120,144.0,79,135,107,155,79,115,135,135,140.0,104.0,101.0,73.0,56.0,55.0,89.0,149.0,159.0,,171.0,,122.0
02:00:00,,,,68,99,100.0,,,120,133.0,118,130,192,100,79,90,127,156,141.0,105.0,89.0,89.0,55.0,57.0,,,171.0,81.0,149.0,135.0,115.0
03:00:00,,,,47,83,64.0,,,113,,119,120,229,96,83,84,101,129,123.0,101.0,58.0,61.0,,50.0,,,186.0,104.0,137.0,118.0,105.0
04:00:00,,,,66,74,52.0,,,109,,118,111,398,78,80,89,83,119,124.0,92.0,58.0,60.0,50.0,59.0,,,181.0,120.0,149.0,117.0,105.0
05:00:00,,,,73,34,55.0,,,102,,117,109,243,70,79,92,88,111,115.0,108.0,55.0,63.0,52.0,57.0,,,170.0,135.0,127.0,119.0,112.0
06:00:00,,,,74,72,63.0,,,94,,112,104,69,81,85,83,95,114,55.0,,57.0,70.0,55.0,61.0,,,168.0,148.0,97.0,123.0,
07:00:00,,,,72,64,45.0,,,92,,109,104,69,78,89,77,109,114,,95.0,55.0,,55.0,64.0,,,185.0,143.0,96.0,115.0,116.0
08:00:00,,,,69,48,56.0,,,101,,111,111,73,91,92,91,109,127,65.0,101.0,64.0,,60.0,69.0,,,217.0,135.0,107.0,126.0,119.0
09:00:00,,,79.0,61,60,66.0,,107.0,111,111.0,127,113,86,109,96,116,126,141,68.0,68.0,70.0,,65.0,,,55.0,,144.0,123.0,135.0,149.0
10:00:00,,,89.0,62,58,78.0,,114.0,119,113.0,133,113,90,123,101,123,131,159,75.0,60.0,,,70.0,91.0,94.0,135.0,181.0,153.0,133.0,133.0,146.0
11:00:00,,,90.0,55,64,84.0,145.0,124.0,127,113.0,130,123,401,116,102,109,139,160,77.0,57.0,58.0,101.0,78.0,105.0,112.0,149.0,177.0,178.0,133.0,137.0,164.0
12:00:00,81.0,107.0,90.0,83,58,91.0,118.0,,127,,122,123,210,119,114,115,140,164,80.0,60.0,67.0,90.0,80.0,99.0,,,183.0,,,141.0,144.0
13:00:00,90.0,101.0,107.0,97,79,90.0,118.0,,123,,124,123,120,114,115,123,133,173,,57.0,,80.0,78.0,101.0,118.0,164.0,177.0,171.0,131.0,149.0,147.0
14:00:00,83.0,101.0,111.0,118,80,95.0,123.0,135.0,122,,121,119,205,146,101,127,130,145,,56.0,92.0,,78.0,99.0,123.0,162.0,179.0,164.0,,153.0,146.0
15:00:00,92.0,99.0,109.0,113,70,97.0,122.0,129.0,129,,123,108,105,137,66,119,129,139,,55.0,80.0,94.0,85.0,104.0,114.0,149.0,177.0,161.0,135.0,137.0,153.0
16:00:00,83.0,105.0,114.0,116,55,88.0,127.0,135.0,127,123.0,125,122,141,120,64,124,127,65,,55.0,78.0,88.0,85.0,111.0,118.0,147.0,167.0,160.0,,133.0,148.0
17:00:00,85.0,91.0,111.0,101,62,94.0,122.0,133.0,127,126.0,131,123,145,102,56,119,129,137,,,72.0,104.0,84.0,102.0,119.0,,160.0,159.0,135.0,,155.0
18:00:00,88.0,97.0,104.0,90,70,99.0,60.0,130.0,133,131.0,129,126,112,100,60,104,127,133,70.0,,73.0,113.0,82.0,101.0,114.0,145.0,159.0,163.0,133.0,111.0,124.0
19:00:00,96.0,67.0,105.0,96,85,95.0,109.0,129.0,129,130.0,130,138,115,96,80,101,131,138,84.0,60.0,83.0,118.0,98.0,115.0,,150.0,167.0,167.0,,109.0,121.0
20:00:00,97.0,,115.0,108,88,96.0,105.0,133.0,138,131.0,129,134,112,99,123,111,131,144,94.0,102.0,89.0,116.0,95.0,112.0,109.0,161.0,163.0,156.0,133.0,116.0,119.0
21:00:00,97.0,,112.0,58,105,,112.0,115.0,145,135.0,129,135,105,102,99,118,129,156,111.0,92.0,116.0,86.0,100.0,,,161.0,133.0,155.0,,,121.0
22:00:00,99.0,,92.0,68,101,,,113.0,150,131.0,137,131,116,107,102,129,125,159,159.0,,104.0,75.0,86.0,125.0,,167.0,119.0,181.0,,141.0,121.0
23:00:00,107.0,,78.0,79,105,,,111.0,149,105.0,134,129,107,108,123,135,125,159,,86.0,85.0,80.0,90.0,131.0,,163.0,94.0,182.0,153.0,129.0,120.0
