Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00:00,313.0,476.0,436.0,480.0,,430.0,,,450,500,345.0,358,85,433.0,378.0,,436.0,343.0,266.0,421,420,392,431,500.0,470.0,500,489,388,373.0,462.0
01:00:00,403.0,350.0,438.0,446.0,,418.0,,,454,500,346.0,349,92,418.0,369.0,,461.0,337.0,206.0,405,419,409,428,500.0,,488,496,374,386.0,452.0
02:00:00,403.0,309.0,418.0,434.0,,389.0,,,443,500,353.0,348,84,417.0,,,450.0,343.0,201.0,408,400,430,433,500.0,494.0,476,479,373,373.0,457.0
03:00:00,342.0,304.0,407.0,428.0,,411.0,,,452,500,369.0,2,500,401.0,,,439.0,347.0,195.0,412,383,426,426,500.0,496.0,487,477,382,378.0,423.0
04:00:00,356.0,302.0,407.0,429.0,,374.0,,,455,371,20.0,40,480,392.0,,,436.0,343.0,257.0,441,397,417,421,500.0,,500,477,410,,428.0
05:00:00,311.0,291.0,416.0,422.0,,394.0,,,450,140,16.0,40,443,376.0,,,,334.0,243.0,420,414,449,428,500.0,,500,479,413,,437.0
06:00:00,260.0,264.0,430.0,424.0,,396.0,,,453,92,17.0,40,440,364.0,449.0,,,326.0,188.0,403,433,453,431,500.0,,500,472,422,371.0,443.0
07:00:00,286.0,264.0,,428.0,,401.0,416.0,500.0,473,16,20.0,304,429,362.0,448.0,430.0,409.0,318.0,199.0,370,437,447,431,,,500,467,443,365.0,443.0
08:00:00,307.0,275.0,,428.0,,400.0,410.0,500.0,478,67,19.0,222,422,346.0,448.0,434.0,408.0,306.0,,364,431,427,408,500.0,467.0,500,484,409,365.0,484.0
09:00:00,336.0,328.0,447.0,479.0,,421.0,426.0,500.0,500,77,240.0,241,424,362.0,434.0,441.0,409.0,,,384,444,401,410,500.0,459.0,500,489,357,382.0,
10:00:00,413.0,405.0,468.0,480.0,,426.0,462.0,500.0,500,113,217.0,210,411,,440.0,452.0,425.0,336.0,69.0,380,438,403,433,500.0,471.0,500,472,346,375.0,500.0
11:00:00,319.0,441.0,448.0,495.0,,354.0,447.0,483.0,500,163,193.0,131,346,,434.0,480.0,439.0,355.0,52.0,311,455,407,451,500.0,,500,440,318,368.0,500.0
12:00:00,305.0,500.0,443.0,500.0,,420.0,455.0,366.0,500,130,140.0,101,278,,356.0,476.0,,318.0,465.0,305,445,374,443,500.0,450.0,481,432,302,348.0,500.0
13:00:00,310.0,500.0,454.0,500.0,,409.0,427.0,368.0,500,123,92.0,81,238,377.0,318.0,485.0,343.0,206.0,402.0,389,350,349,355,401.0,418.0,429,420,312,332.0,433.0
14:00:00,305.0,490.0,380.0,422.0,,346.0,400.0,352.0,500,170,68.0,83,312,323.0,321.0,429.0,234.0,133.0,227.0,371,350,328,348,395.0,369.0,395,449,200,323.0,413.0
15:00:00,219.0,484.0,295.0,426.0,412.0,237.0,382.0,400.0,463,167,73.0,88,322,311.0,287.0,308.0,152.0,115.0,167.0,243,331,303,346,399.0,359.0,401,436,83,324.0,378.0
16:00:00,204.0,472.0,189.0,416.0,305.0,222.0,382.0,378.0,405,147,73.0,84,290,280.0,185.0,336.0,127.0,129.0,165.0,304,308,311,342,420.0,365.0,398,363,230,337.0,391.0
17:00:00,177.0,446.0,165.0,350.0,95.0,219.0,388.0,0.0,423,147,80.0,81,311,215.0,147.0,352.0,123.0,135.0,157.0,202,340,310,332,334.0,342.0,374,358,91,351.0,385.0
18:00:00,,0.0,188.0,306.0,289.0,55.0,0.0,363.0,433,253,83.0,100,322,201.0,187.0,349.0,120.0,131.0,306.0,315,365,324,394,,329.0,374,354,97,351.0,375.0
19:00:00,,,330.0,352.0,342.0,409.0,54.0,375.0,473,213,120.0,116,349,241.0,224.0,361.0,147.0,87.0,215.0,328,387,342,410,410.0,333.0,435,348,187,383.0,392.0
20:00:00,,,453.0,401.0,451.0,,496.0,380.0,500,84,233.0,147,373,315.0,301.0,372.0,217.0,105.0,292.0,349,407,364,434,418.0,370.0,500,411,237,395.0,429.0
21:00:00,,453.0,370.0,62.0,473.0,,499.0,387.0,500,86,237.0,266,405,327.0,315.0,399.0,306.0,105.0,421.0,380,433,407,418,428.0,392.0,499,375,260,,453.0
22:00:00,,,371.0,,467.0,,500.0,409.0,500,98,,366,453,347.0,344.0,415.0,344.0,109.0,447.0,378,429,418,432,470.0,429.0,482,352,334,446.0,346.0
23:00:00,,447.0,444.0,,448.0,449.0,500.0,443.0,500,104,,500,461,374.0,,415.0,360.0,329.0,426.0,414,429,421,495,,495.0,497,348,348,457.0,348.0
