Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
00:00:00,130,230,187,368,316,386.0,405.0,157,207,203,335,257,125,101,167.0,230.0,,,,425,237,355.0,315.0,143,250.0,382,305.0,194
01:00:00,183,183,197,370,307,369.0,395.0,187,290,230,331,197,111,115,257.0,270.0,438.0,483.0,394.0,435,250,,280.0,223,290.0,321,290.0,260
02:00:00,253,200,180,390,290,394.0,358.0,133,305,220,306,163,111,112,273.0,321.0,436.0,441.0,401.0,358,187,,302.0,130,223.0,348,318.0,220
03:00:00,220,167,220,344,237,386.0,350.0,147,193,180,311,129,99,88,160.0,302.0,428.0,440.0,338.0,345,223,,203.0,133,253.0,342,305.0,220
04:00:00,180,207,318,328,312,385.0,334.0,203,167,133,328,114,81,74,197.0,293.0,411.0,435.0,327.0,342,187,,,133,,388,310.0,203
05:00:00,193,301,314,305,304,382.0,358.0,223,223,133,334,115,70,81,187.0,,,,316.0,337,150,,193.0,140,307.0,332,,177
06:00:00,120,203,243,301,270,375.0,344.0,160,277,107,328,119,67,90,150.0,297.0,398.0,,335.0,365,203,,200.0,233,320.0,316,,187
07:00:00,167,223,257,277,250,371.0,350.0,103,302,147,319,157,62,97,147.0,290.0,,,325.0,348,250,306.0,243.0,217,302.0,312,,217
08:00:00,167,197,250,280,250,384.0,368.0,127,243,193,316,117,85,127,170.0,305.0,426.0,,333.0,332,277,320.0,200.0,213,287.0,316,,230
09:00:00,187,250,287,237,307,376.0,366.0,203,240,253,329,121,131,160,220.0,303.0,,385.0,339.0,334,304,224.0,207.0,260,310.0,335,327.0,305
10:00:00,193,260,280,297,322,342.0,353.0,193,309,250,331,164,160,169,230.0,311.0,500.0,424.0,358.0,346,297,322.0,213.0,302,323.0,337,355.0,303
11:00:00,207,197,287,301,301,277.0,344.0,223,257,250,368,163,217,189,230.0,322.0,434.0,407.0,378.0,315,220,349.0,159.0,237,302.0,334,400.0,354
12:00:00,200,180,305,270,302,,306.0,230,197,240,420,147,244,202,223.0,336.0,407.0,382.0,337.0,320,223,346.0,173.0,224,,322,349.0,277
13:00:00,163,187,197,233,273,267.0,220.0,171,168,207,332,171,358,179,203.0,346.0,349.0,375.0,331.0,301,287,,162.0,205,,233,306.0,309
14:00:00,163,167,167,207,177,324.0,,135,182,230,302,196,299,160,179.0,342.0,332.0,340.0,346.0,257,222,,141.0,145,,287,185.0,249
15:00:00,147,147,130,150,119,270.0,,129,188,277,178,144,413,145,196.0,409.0,267.0,355.0,316.0,174,213,328.0,139.0,111,,181,,213
16:00:00,107,141,220,185,111,217.0,185.0,150,23,199,193,171,262,159,178.0,401.0,302.0,318.0,280.0,138,207,302.0,141.0,115,268.0,322,146.0,186
17:00:00,85,148,142,165,111,250.0,135.0,122,125,191,294,159,200,138,163.0,315.0,302.0,237.0,203.0,111,213,207.0,129.0,135,466.0,254,145.0,155
18:00:00,85,169,143,167,109,436.0,133.0,112,126,189,229,145,181,134,148.0,327.0,310.0,223.0,217.0,159,302,185.0,129.0,129,413.0,341,133.0,155
19:00:00,119,134,167,230,197,420.0,129.0,120,149,360,223,127,164,141,155.0,318.0,408.0,301.0,342.0,217,287,186.0,121.0,144,193.0,340,148.0,153
20:00:00,149,163,193,305,206,409.0,135.0,147,165,237,230,122,131,160,170.0,332.0,412.0,301.0,437.0,217,315,190.0,149.0,197,251.0,358,160.0,177
21:00:00,253,197,314,332,320,312.0,155.0,171,175,412,301,115,131,181,213.0,404.0,426.0,311.0,484.0,256,370,267.0,157.0,191,290.0,294,197.0,181
22:00:00,297,213,332,322,419,358.0,133.0,260,188,410,318,133,113,163,177.0,455.0,425.0,355.0,475.0,217,342,304.0,161.0,213,426.0,244,223.0,162
23:00:00,260,187,359,333,423,405.0,129.0,267,193,349,316,127,104,230,,,442.0,325.0,436.0,233,342,396.0,157.0,265,500.0,260,251.0,174
