Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,77,59,91,63.0,90,92.0,53,57,107,91,69,66.0,40,50.0,83,46,61,66,50,90,86.0,90,38,31,36,38,67,102.0,,109.0,29
01:00:00,102,51,75,50.0,96,80.0,41,58,109,89,75,35.0,40,48.0,94,36,59,75,39,97,42.0,94,35,30,44,44,59,92.0,,280.0,25
02:00:00,101,41,89,58.0,80,86.0,40,62,45,101,105,40.0,40,38.0,78,35,63,84,34,80,39.0,58,30,42,40,36,62,84.0,,203.0,31
03:00:00,78,40,85,44.0,66,62.0,33,50,29,77,67,26.0,44,33.0,56,28,61,64,30,53,47.0,50,51,26,27,42,44,94.0,,110.0,23
04:00:00,46,41,85,33.0,86,90.0,36,40,36,51,55,27.0,35,56.0,73,33,61,52,45,40,92.0,35,45,27,30,36,57,84.0,,70.0,22
05:00:00,28,34,72,46.0,69,68.0,40,70,26,53,66,27.0,30,25.0,61,35,50,41,44,34,257.0,44,29,36,27,39,38,85.0,,75.0,22
06:00:00,34,33,50,38.0,63,35.0,28,80,28,39,55,26.0,28,30.0,51,41,39,48,42,74,51.0,31,38,36,32,42,42,140.0,,51.0,23
07:00:00,42,41,56,,67,44.0,30,180,30,30,57,33.0,28,35.0,44,48,35,41,35,206,53.0,31,32,37,33,26,58,95.0,,45.0,20
08:00:00,50,48,56,,123,45.0,38,150,35,40,95,36.0,32,39.0,51,28,46,46,35,32,40.0,31,30,34,50,39,38,97.0,,29.0,25
09:00:00,65,46,48,,114,,52,91,35,52,68,41.0,35,70.0,57,34,55,70,35,35,78.0,57,62,65,47,40,58,112.0,,35.0,25
10:00:00,66,41,57,,113,60.0,50,63,39,44,67,55.0,92,75.0,69,52,51,40,35,32,68.0,52,75,75,42,46,62,103.0,,60.0,30
11:00:00,62,52,56,,97,52.0,50,80,46,61,74,74.0,40,48.0,68,42,52,56,36,36,63.0,35,78,43,44,44,52,99.0,,42.0,34
12:00:00,64,51,50,72.0,88,68.0,45,84,63,66,91,73.0,42,,53,36,52,62,38,50,51.0,50,60,44,48,50,62,75.0,,42.0,38
13:00:00,73,44,52,81.0,85,92.0,57,109,66,48,85,73.0,45,51.0,53,37,41,70,62,43,40.0,40,48,42,57,50,51,74.0,,40.0,35
14:00:00,94,46,59,70.0,55,92.0,53,92,86,75,50,72.0,35,68.0,55,37,47,103,40,50,42.0,38,44,45,57,47,50,46.0,,44.0,36
15:00:00,101,44,61,67.0,58,58.0,50,89,94,101,64,,35,60.0,46,36,45,91,42,45,41.0,36,41,43,41,48,48,42.0,,,36
16:00:00,97,57,61,66.0,47,61.0,45,99,40,53,78,75.0,35,61.0,55,37,53,63,57,75,48.0,34,39,43,46,47,48,,,,35
17:00:00,74,56,72,79.0,62,55.0,50,79,52,67,74,70.0,35,56.0,42,42,67,44,55,60,,31,46,38,41,50,46,,,,35
18:00:00,78,66,72,67.0,89,53.0,51,72,67,105,74,,40,50.0,39,51,43,42,58,47,42.0,36,38,33,40,56,42,,50.0,41.0,34
19:00:00,91,77,68,66.0,55,58.0,50,84,85,61,73,99.0,46,48.0,34,50,60,35,55,53,43.0,38,38,41,35,56,51,,53.0,38.0,31
20:00:00,57,77,80,83.0,58,58.0,55,90,95,46,95,99.0,45,52.0,44,57,62,66,78,50,55.0,48,39,47,40,53,51,,62.0,29.0,41
21:00:00,86,68,80,72.0,79,57.0,69,108,72,62,100,88.0,48,61.0,56,72,68,67,98,52,45.0,55,38,50,48,80,60,,90.0,30.0,51
22:00:00,111,92,85,95.0,80,52.0,84,102,69,65,107,74.0,57,75.0,59,67,90,59,98,82,48.0,62,35,50,45,55,88,,97.0,,47
23:00:00,74,111,88,,84,51.0,80,94,70,85,115,36.0,51,88.0,45,62,68,61,105,84,82.0,61,32,40,40,63,110,,129.0,34.0,51
