Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00:00,56,83,66,147,321.0,327,81.0,114,99.0,193.0,167.0,86.0,101.0,187,203.0,306.0,131,78,74,233.0,,107,305,,120,201,34,58.0,133,108
01:00:00,38,80,70,183,342.0,331,80.0,105,101.0,193.0,,77.0,115.0,217,180.0,,114,104,45,273.0,,160,328,,107,185,48,65.0,0,107
02:00:00,63,85,72,140,312.0,335,88.0,104,107.0,316.0,213.0,75.0,123.0,200,127.0,302.0,113,113,37,260.0,,203,305,177.0,91,167,37,58.0,102,120
03:00:00,52,77,56,98,167.0,315,91.0,102,67.0,277.0,260.0,70.0,130.0,113,144.0,304.0,111,97,37,237.0,,207,110,177.0,73,320,29,45.0,77,77
04:00:00,56,87,44,157,127.0,302,,99,84.0,237.0,303.0,75.0,133.0,120,137.0,302.0,78,74,45,233.0,25.0,133,120,163.0,70,167,40,37.0,77,66
05:00:00,56,58,52,103,180.0,297,52.0,103,78.0,197.0,273.0,60.0,120.0,92,129.0,287.0,97,78,30,307.0,73.0,150,120,200.0,53,109,22,38.0,69,67
06:00:00,57,88,75,133,170.0,287,44.0,107,65.0,140.0,316.0,70.0,130.0,213,133.0,273.0,131,64,25,325.0,193.0,167,101,270.0,40,127,22,45.0,67,78
07:00:00,53,98,147,97,180.0,260,55.0,68,55.0,177.0,270.0,58.0,143.0,92,140.0,297.0,92,88,25,344.0,147.0,315,112,257.0,47,147,47,107.0,84,85
08:00:00,59,85,143,113,123.0,307,87.0,53,66.0,187.0,,93.0,329.0,80,177.0,305.0,100,56,37,319.0,78.0,315,140,237.0,48,143,45,83.0,95,93
09:00:00,73,88,120,305,86.0,280,177.0,73,143.0,223.0,143.0,277.0,328.0,150,,312.0,109,58,45,332.0,83.0,270,143,207.0,42,160,30,70.0,86,110
10:00:00,92,59,97,120,130.0,217,150.0,72,187.0,180.0,193.0,253.0,310.0,143,207.0,345.0,120,66,25,243.0,120.0,257,167,160.0,46,240,52,63.0,70,163
11:00:00,316,63,53,63,213.0,143,101.0,78,,111.0,163.0,95.0,237.0,80,,320.0,91,79,28,119.0,,307,127,120.0,54,46,46,57.0,77,133
12:00:00,333,62,52,73,75.0,150,124.0,74,,83.0,111.0,67.0,143.0,77,,305.0,102,85,92,86.0,85.0,83,80,81.0,56,57,52,67.0,75,103
13:00:00,310,57,51,47,57.0,73,156.0,74,58.0,58.0,72.0,68.0,104.0,75,,280.0,80,78,58,74.0,78.0,63,67,,58,74,58,64.0,73,97
14:00:00,123,48,52,46,69.0,68,124.0,68,,56.0,75.0,,77.0,81,,149.0,63,78,53,63.0,78.0,65,63,76.0,64,309,62,70.0,76,89
15:00:00,51,47,51,46,55.0,69,94.0,69,,58.0,78.0,,66.0,86,,109.0,57,88,47,42.0,53.0,63,140,83.0,67,66,69,74.0,79,88
16:00:00,50,46,52,46,56.0,72,74.0,63,55.0,58.0,85.0,,59.0,97,,92.0,65,94,51,37.0,55.0,63,61,84.0,69,47,73,77.0,81,95
17:00:00,50,45,52,50,57.0,72,81.0,55,53.0,,86.0,,73.0,107,,103.0,73,92,52,,54.0,66,57,86.0,73,47,76,80.0,84,100
18:00:00,53,44,52,49,58.0,79,85.0,59,52.0,,92.0,58.0,72.0,109,104.0,70.0,66,109,54,,55.0,68,46,86.0,77,50,74,77.0,83,101
19:00:00,52,42,49,45,61.0,78,101.0,63,48.0,,94.0,59.0,,103,84.0,72.0,86,140,49,,56.0,65,46,66.0,68,49,59,,78,97
20:00:00,48,59,40,56,81.0,107,107.0,64,52.0,,96.0,75.0,83.0,126,90.0,70.0,68,25,34,,49.0,45,56,83.0,73,46,79,,108,172
21:00:00,52,83,57,61,,112,116.0,95,68.0,,101.0,86.0,100.0,150,108.0,105.0,75,52,66,,77.0,119,97,103.0,91,47,79,176.0,168,66
22:00:00,61,85,75,83,,123,99.0,107,78.0,,102.0,89.0,112.0,187,135.0,130.0,50,85,177,,79.0,140,220,312.0,133,38,57,253.0,152,73
23:00:00,70,75,177,103,311.0,100,115.0,107,193.0,,92.0,92.0,115.0,187,307.0,135.0,75,108,303,,96.0,280,240,167.0,185,32,52,142.0,118,87
