Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,108.0,97.0,111.0,70,124,126,143,111,230,180.0,,243,329,308,325,376,328,293,64,305.0,315,303,354,402,386,419,484.0,131,494.0,500,469.0
01:00:00,75.0,,117.0,57,105,122,160,105,243,187.0,,243,316,312,312,365,321,293,78,310.0,329,320,319,422,375,437,500.0,129,500.0,500,471.0
02:00:00,96.0,,123.0,63,105,111,140,107,220,200.0,,311,340,324,297,372,312,302,95,311.0,345,315,309,432,370,414,493.0,97,500.0,500,474.0
03:00:00,59.0,,113.0,77,101,97,123,101,157,230.0,,306,353,342,293,358,304,277,94,318.0,346,302,309,400,342,384,464.0,88,500.0,484,479.0
04:00:00,59.0,,123.0,58,85,90,107,85,150,267.0,,324,370,348,303,335,303,277,75,332.0,322,273,328,417,290,328,450.0,500,470.0,468,468.0
05:00:00,50.0,,270.0,68,75,97,114,85,133,290.0,,325,384,327,307,316,290,250,83,327.0,325,306,338,419,302,310,453.0,500,449.0,466,424.0
06:00:00,42.0,,160.0,73,75,92,108,80,147,287.0,,328,373,316,302,320,277,250,75,318.0,328,302,332,467,301,305,398.0,489,437.0,423,413.0
07:00:00,40.0,,140.0,78,78,133,119,101,276,314.0,314.0,319,353,329,302,315,293,277,85,345.0,325,304,337,420,314,305,386.0,425,417.0,417,390.0
08:00:00,92.0,,105.0,83,83,160,121,111,250,332.0,311.0,316,388,356,297,315,353,277,118,332.0,353,311,335,416,356,304,391.0,414,,410,384.0
09:00:00,85.0,,147.0,104,85,167,141,111,270,341.0,327.0,325,395,340,323,315,354,293,180,332.0,368,316,341,453,319,320,396.0,417,,406,398.0
10:00:00,85.0,,,107,86,200,157,116,237,342.0,314.0,335,420,342,332,306,339,293,305,349.0,374,329,336,459,316,331,422.0,423,379.0,384,421.0
11:00:00,92.0,151.0,253.0,92,69,133,119,119,213,355.0,293.0,324,358,273,309,277,314,230,293,314.0,390,302,335,487,243,318,429.0,422,392.0,432,428.0
12:00:00,99.0,,167.0,100,74,131,99,104,167,328.0,177.0,233,310,217,301,297,305,170,311,240.0,357,213,328,440,273,306,411.0,430,442.0,428,475.0
13:00:00,,101.0,122.0,105,79,111,109,96,120,318.0,166.0,126,314,237,297,312,267,157,151,,325,183,302,327,187,220,392.0,420,439.0,453,500.0
14:00:00,105.0,,173.0,113,88,107,116,96,150,176.0,184.0,149,302,200,290,302,187,149,203,123.0,306,160,270,312,267,187,329.0,388,428.0,477,500.0
15:00:00,119.0,,130.0,116,87,111,109,94,192,142.0,182.0,181,203,153,213,321,180,127,179,111.0,183,160,203,270,270,205,180.0,352,436.0,478,500.0
16:00:00,123.0,77.0,197.0,113,90,114,99,90,165,257.0,197.0,169,153,133,273,321,210,120,196,102.0,170,145,163,180,243,211,140.0,321,452.0,478,500.0
17:00:00,,62.0,157.0,124,79,120,101,88,140,240.0,203.0,129,141,129,301,319,170,120,180,103.0,155,137,163,155,183,233,149.0,315,449.0,449,
18:00:00,,60.0,117.0,114,78,121,119,77,169,207.0,187.0,153,144,157,280,305,177,141,182,118.0,155,125,167,220,177,304,130.0,287,444.0,464,
19:00:00,103.0,62.0,109.0,109,93,129,118,84,170,203.0,202.0,171,145,164,285,306,253,159,187,130.0,161,163,207,290,233,314,163.0,307,463.0,457,
20:00:00,102.0,91.0,183.0,101,115,141,137,107,171,243.0,167.0,197,189,197,307,325,280,433,230,155.0,181,174,267,329,318,362,358.0,331,495.0,429,
21:00:00,84.0,96.0,160.0,101,127,148,141,114,164,250.0,213.0,267,277,311,403,337,302,120,273,167.0,174,207,318,345,339,500,,392,474.0,437,500.0
22:00:00,96.0,121.0,130.0,108,145,149,131,213,150,250.0,257.0,304,312,319,414,332,318,55,306,277.0,220,273,408,420,351,478,431.0,472,486.0,446,500.0
23:00:00,,116.0,78.0,115,150,157,127,230,147,,290.0,323,287,349,407,337,311,61,314,260.0,273,369,387,387,382,456,500.0,480,500.0,453,500.0
