Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
00:00:00,334,382,382,420.0,500,437,328,160.0,302,386,396,417,399,419,280,338,310,414.0,250,443,160,334,170.0,301,287.0,89.0,119.0,
01:00:00,338,383,345,383.0,500,431,304,,203,359,395,434,363,416,302,337,304,397.0,304,423,150,355,180.0,311,217.0,,123.0,
02:00:00,366,373,348,327.0,500,427,243,116.0,240,375,395,418,363,382,217,340,319,382.0,277,395,213,375,150.0,302,243.0,,127.0,
03:00:00,382,353,290,328.0,500,420,150,105.0,223,375,405,424,365,356,223,306,308,354.0,260,348,217,311,167.0,260,157.0,,79.0,
04:00:00,351,333,237,362.0,476,417,187,133.0,233,367,390,428,351,354,207,293,303,311.0,260,374,257,260,197.0,223,177.0,,89.0,
05:00:00,336,329,287,382.0,459,417,143,107.0,240,373,388,435,351,353,203,270,303,302.0,253,348,290,314,193.0,305,167.0,,119.0,
06:00:00,352,320,230,357.0,500,401,157,90.0,220,371,382,431,363,357,223,307,318,230.0,253,342,303,297,150.0,315,200.0,,115.0,
07:00:00,372,320,217,315.0,500,397,147,103.0,237,373,393,401,365,351,270,325,277,257.0,273,359,147,273,143.0,325,197.0,,115.0,
08:00:00,380,315,213,305.0,500,401,157,187.0,187,344,408,400,398,411,323,320,213,287.0,305,346,213,193,213.0,335,233.0,,110.0,
09:00:00,417,316,230,287.0,500,414,147,243.0,233,352,400,406,416,398,340,328,200,311.0,327,237,230,183,277.0,308,304.0,213.0,103.0,
10:00:00,397,325,200,320.0,500,433,111,303.0,267,355,401,429,425,404,332,325,270,318.0,322,127,267,233,243.0,257,302.0,193.0,109.0,
11:00:00,393,338,270,344.0,478,372,119,316.0,200,386,341,356,429,348,332,312,293,267.0,302,127,163,197,143.0,253,362.0,183.0,103.0,
12:00:00,358,353,309,392.0,435,376,145,303.0,133,323,333,309,362,351,334,321,240,163.0,320,187,140,157,119.0,167,,132.0,103.0,
13:00:00,316,368,327,362.0,437,382,131,305.0,140,302,310,307,348,340,349,308,253,157.0,340,118,155,140,137.0,127,306.0,129.0,,
14:00:00,267,378,327,344.0,341,341,130,157.0,137,200,336,325,321,336,339,311,203,,322,107,134,120,119.0,134,168.0,160.0,,
15:00:00,375,379,324,310.0,302,302,131,155.0,133,149,311,365,237,323,407,305,147,,303,115,127,117,105.0,129,,145.0,,
16:00:00,388,365,320,,267,240,177,151.0,127,130,304,361,302,315,400,297,180,155.0,303,107,125,105,,129,153.0,125.0,,
17:00:00,366,384,307,,233,187,220,142.0,126,157,270,375,329,260,388,270,177,151.0,287,97,142,104,120.0,108,153.0,,,
18:00:00,370,391,305,145.0,301,170,111,133.0,125,170,290,346,355,233,338,220,123,140.0,337,127,159,86,115.0,110,,136.0,,
19:00:00,392,402,314,237.0,312,223,113,133.0,139,158,213,362,358,290,318,240,130,134.0,321,138,163,101,123.0,114,177.0,118.0,,
20:00:00,407,413,340,337.0,341,327,88,155.0,166,217,267,369,374,306,327,277,183,170.0,328,158,168,109,116.0,137,177.0,103.0,,
21:00:00,416,428,354,414.0,381,335,89,243.0,101,320,338,420,365,302,336,321,237,233.0,382,203,243,131,177.0,183,79.0,125.0,,
22:00:00,416,457,375,434.0,426,355,107,193.0,339,345,384,444,399,321,325,321,316,260.0,414,140,318,126,,349,65.0,127.0,,
23:00:00,405,417,413,493.0,485,344,167,223.0,362,375,407,433,405,320,328,342,370,293.0,425,123,331,150,213.0,333,63.0,108.0,,
