Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,,,141,,109,62.0,90.0,133.0,141.0,105,243.0,197.0,453.0,201,135,120,81,111,145,150,135.0,144,157,188,62.0,193.0,57,75,95,95,88
01:00:00,,,127,80.0,112,64.0,84.0,171.0,115.0,92,71.0,192.0,431.0,309,151,111,114,141,137,175,,144,131,193,36.0,121.0,60,62,105,99,177
02:00:00,,,122,92.0,150,64.0,70.0,171.0,112.0,99,37.0,181.0,330.0,328,78,94,81,167,125,129,,131,297,217,40.0,108.0,55,70,123,96,67
03:00:00,,,117,80.0,101,46.0,40.0,134.0,,101,6.0,149.0,131.0,250,62,64,72,144,117,131,,129,349,217,33.0,84.0,39,23,150,86,59
04:00:00,137.0,,123,101.0,143,60.0,,129.0,127.0,91,,142.0,,227,77,58,70,47,112,117,,133,406,200,35.0,91.0,35,28,75,107,62
05:00:00,116.0,430.0,133,101.0,133,56.0,70.0,131.0,114.0,88,23.0,153.0,,213,89,80,59,29,99,116,,183,250,223,38.0,97.0,65,30,39,58,237
06:00:00,,431.0,127,84.0,105,62.0,75.0,127.0,104.0,102,,146.0,,171,89,61,44,27,105,100,,167,312,250,43.0,85.0,48,28,42,103,172
07:00:00,,320.0,133,101.0,100,60.0,78.0,123.0,96.0,124,26.0,162.0,19.0,172,55,74,56,36,125,79,80.0,273,277,325,50.0,85.0,73,33,38,134,46
08:00:00,,240.0,127,114.0,115,79.0,120.0,133.0,102.0,150,36.0,199.0,156.0,226,66,55,52,64,170,95,100.0,306,305,62,,63.0,57,38,47,78,46
09:00:00,,279.0,125,73.0,135,104.0,91.0,125.0,118.0,135,27.0,299.0,189.0,281,73,45,53,77,306,113,108.0,306,297,107,,59.0,57,39,50,64,56
10:00:00,,191.0,125,89.0,129,79.0,118.0,145.0,118.0,153,22.0,394.0,283.0,467,117,56,37,59,223,109,91.0,217,217,141,,47.0,55,42,56,66,84
11:00:00,,186.0,121,86.0,157,100.0,130.0,,149.0,159,16.0,457.0,489.0,470,147,69,45,39,112,107,97.0,116,125,172,51.0,52.0,57,38,50,73,91
12:00:00,194.0,194.0,114,92.0,155,167.0,125.0,187.0,142.0,237,500.0,500.0,469.0,433,167,70,36,56,133,103,95.0,100,150,167,85.0,67.0,58,36,64,69,94
13:00:00,,199.0,107,109.0,129,415.0,107.0,167.0,165.0,403,466.0,500.0,435.0,314,283,94,52,57,153,100,100.0,99,150,151,85.0,74.0,55,42,64,70,81
14:00:00,217.0,233.0,100,68.0,99,142.0,75.0,166.0,159.0,380,452.0,277.0,448.0,384,425,105,73,99,196,96,119.0,136,207,146,94.0,136.0,50,46,61,63,77
15:00:00,,232.0,92,65.0,89,100.0,116.0,159.0,152.0,438,491.0,500.0,464.0,408,255,102,89,91,271,51,114.0,171,127,118,72.0,78.0,55,48,55,61,67
16:00:00,,212.0,93,65.0,84,116.0,94.0,86.0,175.0,445,493.0,500.0,422.0,435,212,86,88,92,147,78,139.0,150,160,123,73.0,52.0,99,52,73,64,89
17:00:00,,204.0,107,82.0,137,,84.0,,113.0,444,500.0,500.0,417.0,456,433,62,96,84,265,79,40.0,62,96,108,58.0,55.0,52,45,66,69,90
18:00:00,,184.0,96,62.0,102,,,142.0,95.0,485,484.0,425.0,374.0,410,65,59,69,92,250,100,60.0,48,86,109,63.0,52.0,68,31,72,68,77
19:00:00,,184.0,101,75.0,80,86.0,123.0,133.0,63.0,500,424.0,423.0,308.0,412,101,61,63,89,181,115,82.0,61,89,165,66.0,50.0,82,36,57,63,64
20:00:00,,160.0,118,75.0,80,105.0,124.0,149.0,91.0,500,369.0,,254.0,355,86,57,73,95,153,111,101.0,90,95,74,66.0,70.0,100,40,57,81,79
21:00:00,,157.0,132,77.0,61,96.0,119.0,182.0,107.0,203,335.0,,339.0,281,97,66,74,105,153,108,108.0,99,117,47,72.0,,78,48,79,105,80
22:00:00,,157.0,124,86.0,67,92.0,107.0,157.0,156.0,220,197.0,,193.0,200,64,72,92,127,162,145,114.0,118,160,64,80.0,70.0,78,75,90,111,102
23:00:00,,160.0,106,80.0,68,95.0,124.0,170.0,162.0,207,179.0,162.0,168.0,129,90,73,105,141,165,153,119.0,180,190,52,107.0,68.0,88,88,102,101,105
