Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00:00,407,260,221,161,204,417,116,185.0,415.0,,,449,420.0,179,219,223,127.0,181,189,99,186,163,201,159,117,170.0,146,226,283,244.0
01:00:00,394,334,182,141,194,380,115,,354.0,391.0,,361,320.0,155,178,296,133.0,95,243,79,237,165,171,99,117,152.0,157,233,241,294.0
02:00:00,415,218,170,141,164,215,88,,246.0,311.0,,268,185.0,199,202,404,155.0,78,328,63,230,155,137,57,91,145.0,197,215,424,289.0
03:00:00,401,205,166,115,162,153,83,,234.0,226.0,,382,153.0,181,267,411,129.0,48,297,42,181,140,118,54,61,146.0,117,185,396,229.0
04:00:00,297,199,166,114,304,162,70,,290.0,202.0,,118,141.0,155,169,252,92.0,56,267,57,157,160,108,65,65,220.0,150,160,439,249.0
05:00:00,257,167,182,196,149,153,73,,267.0,188.0,,121,142.0,144,233,120,,64,183,57,168,193,125,60,57,108.0,302,193,423,277.0
06:00:00,277,170,216,148,137,151,72,,243.0,,,91,118.0,141,220,92,81.0,110,131,55,155,163,116,57,80,,250,280,414,295.0
07:00:00,287,159,341,137,149,187,88,,303.0,171.0,,109,137.0,147,189,84,102.0,104,143,63,149,325,101,65,120,323.0,240,325,348,336.0
08:00:00,277,163,420,116,163,233,105,,366.0,,,212,171.0,185,257,110,125.0,94,187,84,169,207,95,73,187,223.0,311,260,215,500.0
09:00:00,278,192,444,125,175,268,108,155.0,,241.0,,309,204.0,274,381,131,163.0,53,168,100,173,223,88,52,121,290.0,266,259,175,166.0
10:00:00,384,194,447,135,175,272,115,161.0,,249.0,,202,182.0,228,287,239,195.0,62,222,111,159,270,155,66,119,306.0,374,271,218,144.0
11:00:00,314,206,440,149,195,279,191,151.0,493.0,,,364,155.0,245,245,378,322.0,81,250,127,163,185,148,96,147,157.0,408,223,206,175.0
12:00:00,270,204,437,165,413,188,212,137.0,0.0,,,243,235.0,199,217,125,199.0,78,287,167,204,267,113,105,122,148.0,309,178,213,191.0
13:00:00,268,196,424,168,189,153,204,129.0,233.0,,500.0,226,141.0,167,227,111,135.0,103,290,240,234,274,150,104,122,123.0,471,156,212,197.0
14:00:00,290,207,427,168,194,159,204,147.0,157.0,,315.0,173,112.0,170,304,111,192.0,97,319,125,230,211,152,120,123,123.0,189,157,237,199.0
15:00:00,263,196,413,159,186,178,211,,149.0,0.0,175.0,175,107.0,163,311,90,131.0,105,292,139,238,196,158,157,173,140.0,151,97,238,213.0
16:00:00,268,186,370,163,177,169,197,150.0,148.0,,153.0,157,,162,349,97,122.0,59,283,141,179,190,183,117,178,129.0,167,123,235,500.0
17:00:00,276,187,299,161,159,270,167,143.0,137.0,,369.0,142,,171,121,95,135.0,66,239,238,170,247,192,115,192,122.0,199,240,239,
18:00:00,267,202,260,163,162,318,147,150.0,,,244.0,144,,151,251,120,156.0,87,254,121,142,244,169,91,176,121.0,201,223,241,259.0
19:00:00,244,223,246,175,161,284,146,0.0,0.0,,246.0,183,160.0,153,90,108,139.0,88,234,142,124,166,119,100,141,122.0,211,218,210,294.0
20:00:00,248,246,223,174,162,500,146,159.0,157.0,,245.0,165,179.0,152,268,175,157.0,103,228,175,135,140,126,85,127,127.0,190,216,202,257.0
21:00:00,257,262,199,221,222,211,175,257.0,167.0,,221.0,207,196.0,224,279,234,152.0,125,129,234,161,164,134,83,151,150.0,196,240,293,277.0
22:00:00,241,245,221,238,283,232,0,370.0,146.0,,375.0,130,205.0,204,384,163,179.0,143,123,405,196,201,123,88,150,152.0,215,281,227,319.0
23:00:00,250,252,175,194,304,145,192,374.0,233.0,,441.0,288,257.0,224,293,145,246.0,161,119,150,171,215,309,94,197,170.0,219,326,250,173.0
