Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,60,147,102,129,146,107,107.0,,209,262,312,167,182,159.0,180,250,415,68,,,221,295.0,311,141.0,85.0,181,252,227.0,411,355,306
01:00:00,73,185,107,135,145,108,115.0,,243,254,210,150,226,159.0,213,311,409,50,,,215,268.0,296,189.0,,164,309,227.0,410,237,385
02:00:00,75,234,123,103,200,97,105.0,,245,220,217,171,230,170.0,161,306,411,40,,,248,239.0,284,204.0,,203,266,230.0,356,202,390
03:00:00,57,183,113,72,141,102,113.0,,209,200,168,161,201,177.0,165,321,424,33,,,255,238.0,221,187.0,,187,244,235.0,288,209,378
04:00:00,60,163,103,69,86,124,92.0,,207,200,175,197,230,223.0,230,211,435,40,,,233,,197,160.0,,150,212,235.0,240,195,348
05:00:00,48,203,133,70,38,183,80.0,,155,180,165,212,207,137.0,159,239,426,62,,172.0,187,,189,140.0,53.0,113,188,211.0,254,271,309
06:00:00,67,133,93,68,78,103,91.0,,135,187,171,186,193,187.0,230,255,414,73,,155.0,157,118.0,179,157.0,,101,201,201.0,248,270,283
07:00:00,120,160,92,78,72,107,94.0,,127,170,156,189,197,145.0,233,262,414,80,77.0,,129,119.0,163,193.0,,150,224,201.0,248,238,320
08:00:00,107,143,98,89,66,112,109.0,152.0,164,207,159,227,228,180.0,187,274,305,39,66.0,,163,114.0,163,207.0,,180,213,195.0,277,239,290
09:00:00,180,119,131,101,97,131,121.0,162.0,194,180,190,256,229,187.0,204,325,145,37,74.0,181.0,190,124.0,181,223.0,,123,245,,312,270,279
10:00:00,83,137,140,100,101,137,123.0,195.0,228,181,197,272,266,193.0,217,380,157,34,53.0,196.0,195,141.0,177,197.0,75.0,118,285,,370,285,309
11:00:00,157,147,111,102,120,147,133.0,193.0,197,165,193,229,261,196.0,222,409,140,40,64.0,197.0,183,145.0,161,177.0,85.0,103,212,255.0,355,197,319
12:00:00,68,120,99,84,135,109,170.0,188.0,197,174,150,252,188,220.0,213,424,97,43,72.0,188.0,226,139.0,119,170.0,91.0,93,189,204.0,405,179,304
13:00:00,92,97,84,70,177,107,143.0,173.0,203,171,140,175,173,182.0,259,261,107,48,79.0,230.0,212,122.0,96,135.0,91.0,104,201,216.0,238,138,293
14:00:00,106,84,79,70,179,92,138.0,154.0,170,148,112,152,165,174.0,167,170,75,50,86.0,183.0,207,114.0,105,,103.0,125,207,230.0,219,119,233
15:00:00,105,78,72,79,222,92,135.0,140.0,133,111,98,115,159,154.0,251,213,57,55,81.0,147.0,190,115.0,102,,117.0,120,157,146.0,183,99,192
16:00:00,79,74,75,71,225,80,136.0,140.0,116,103,104,111,159,,218,164,26,37,97.0,138.0,182,116.0,95,,102.0,126,140,139.0,160,109,181
17:00:00,204,94,83,80,120,73,,129.0,116,108,99,111,149,155.0,187,202,31,36,105.0,131.0,175,105.0,121,,80.0,132,149,141.0,140,123,167
18:00:00,101,104,104,106,125,99,,134.0,126,108,103,125,150,131.0,126,210,26,31,126.0,144.0,170,97.0,118,,78.0,133,165,151.0,157,141,162
19:00:00,107,108,110,111,107,109,,146.0,144,127,119,135,185,148.0,141,226,27,34,180.0,164.0,181,88.0,133,101.0,111.0,159,189,163.0,180,170,173
20:00:00,104,114,115,97,124,129,,157.0,234,137,155,179,221,181.0,159,309,73,82,203.0,207.0,192,181.0,151,80.0,146.0,159,97,193.0,223,197,205
21:00:00,130,127,108,120,119,120,,216.0,298,195,243,195,241,192.0,187,413,90,98,217.0,281.0,217,336.0,148,,146.0,179,193,238.0,240,270,234
22:00:00,133,117,135,141,117,127,,284.0,296,396,155,221,284,191.0,215,420,100,105,170.0,273.0,243,284.0,129,,187.0,178,272,296.0,329,274,318
23:00:00,137,109,149,181,116,91,,234.0,295,304,174,196,219,177.0,346,430,102,108,,213.0,222,284.0,131,,177.0,195,261,369.0,402,296,348
