Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00:00,360,337,355,424,117,500,478,398,401,421,451,500,499.0,401,486,494,420.0,,,454.0,414,394.0,308.0,446.0,483,500,480,452,480,374
01:00:00,358,341,342,416,126,500,500,403,434,419,455,500,500.0,404,480,467,,,454.0,446.0,414,380.0,315.0,440.0,462,500,492,500,471,353
02:00:00,401,341,371,439,124,500,500,426,487,404,453,500,500.0,423,460,467,,,,427.0,426,,312.0,450.0,456,500,500,475,484,348
03:00:00,322,349,408,424,108,500,500,431,489,369,454,500,500.0,429,444,490,,,,428.0,425,,303.0,481.0,441,500,499,457,457,339
04:00:00,292,345,371,401,87,500,500,482,500,350,451,500,500.0,420,427,485,,,,418.0,426,,320.0,446.0,437,500,489,462,444,332
05:00:00,296,318,331,402,500,479,500,487,500,329,459,500,,402,409,486,,,447.0,410.0,413,,324.0,441.0,427,500,497,438,438,332
06:00:00,325,314,322,401,500,473,500,499,500,325,435,500,,395,396,483,471.0,,462.0,417.0,410,,316.0,,414,500,483,436,444,357
07:00:00,308,315,320,396,500,464,500,499,487,337,414,500,476.0,391,374,460,457.0,463.0,452.0,413.0,408,344.0,320.0,426.0,409,486,471,453,437,359
08:00:00,318,312,319,404,500,459,489,500,443,334,414,500,469.0,349,359,500,423.0,,440.0,413.0,423,339.0,333.0,417.0,364,490,463,459,429,342
09:00:00,342,339,345,413,500,468,486,475,462,351,440,500,478.0,354,351,463,421.0,486.0,440.0,427.0,423,336.0,334.0,425.0,408,500,454,457,429,349
10:00:00,342,342,346,449,500,477,500,478,496,411,455,500,500.0,388,373,500,422.0,490.0,440.0,424.0,399,331.0,342.0,424.0,412,500,454,447,413,362
11:00:00,301,315,325,500,500,455,500,483,500,500,468,500,,410,407,496,,469.0,441.0,440.0,334,319.0,349.0,409.0,406,500,395,499,411,367
12:00:00,312,308,314,485,500,435,443,444,469,500,480,500,,413,426,434,432.0,,449.0,426.0,297,312.0,369.0,427.0,384,0,379,472,369,355
13:00:00,318,308,297,451,478,417,401,437,456,480,457,500,,401,419,391,,341.0,423.0,446.0,230,302.0,367.0,345.0,402,388,395,443,346,342
14:00:00,280,277,307,429,459,404,345,378,401,419,432,500,427.0,312,355,365,393.0,220.0,375.0,375.0,180,223.0,,323.0,384,336,407,387,318,342
15:00:00,223,193,316,441,429,379,322,378,375,369,428,454,332.0,180,335,340,,,337.0,,135,235.0,,336.0,356,335,376,378,280,318
16:00:00,175,207,319,440,417,352,333,344,340,346,441,431,157.0,290,353,318,237.0,290.0,320.0,322.0,160,185.0,,344.0,368,332,346,362,230,181
17:00:00,178,197,315,417,402,339,301,312,302,329,459,419,288.0,311,338,311,,307.0,309.0,323.0,250,169.0,,331.0,362,324,332,358,213,301
18:00:00,183,203,304,421,396,376,302,311,316,318,461,372,197.0,304,324,308,167.0,323.0,310.0,312.0,312,187.0,301.0,348.0,367,335,333,362,273,306
19:00:00,240,220,310,441,409,398,309,335,327,325,461,362,277.0,348,336,327,,,328.0,319.0,318,223.0,310.0,434.0,382,382,345,369,297,306
20:00:00,310,312,325,440,431,425,328,356,361,405,466,443,309.0,406,379,360,,,348.0,345.0,332,306.0,348.0,471.0,436,393,363,426,315,342
21:00:00,328,329,411,490,496,471,348,422,381,426,486,465,366.0,451,379,376,,,396.0,404.0,375,323.0,390.0,493.0,483,417,378,479,328,362
22:00:00,344,333,426,500,494,500,382,418,422,433,498,500,401.0,454,439,404,,,410.0,414.0,413,316.0,417.0,500.0,500,452,431,447,346,411
23:00:00,340,328,438,500,500,493,410,415,426,448,500,496,401.0,488,500,414,,499.0,438.0,399.0,418,306.0,426.0,473.0,500,492,426,473,402,425
