Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00:00,185,103,81,280,213.0,87,190.0,297,500,321,97,100,60,143.0,84,111,93,84,50,55,70,101,160,196,119,97.0,170,157,170.0,185.0
01:00:00,457,122,92,297,,78,187.0,253,500,325,88,89,47,230.0,75,57,97,68,43,52,57,95,152,111,120,67.0,162,138,227.0,167.0
02:00:00,474,177,91,153,,95,146.0,227,471,319,29,82,46,115.0,83,68,100,63,45,53,100,93,134,103,111,70.0,192,137,194.0,162.0
03:00:00,91,193,104,157,,104,105.0,167,430,305,33,57,107,150.0,62,100,160,59,48,85,73,64,167,85,114,80.0,251,127,218.0,169.0
04:00:00,54,153,133,325,,92,92.0,153,248,187,33,64,91,190.0,68,63,303,53,36,48,84,53,155,81,113,101.0,305,102,,
05:00:00,40,213,223,332,,86,90.0,210,173,147,47,63,59,48.0,58,70,130,55,63,73,65,57,160,69,122,123.0,192,107,221.0,
06:00:00,32,316,167,346,,97,90.0,230,152,127,53,75,55,40.0,61,62,157,35,90,75,70,64,155,69,173,106.0,127,104,209.0,146.0
07:00:00,39,300,153,350,,92,133.0,217,160,131,55,83,52,46.0,66,69,103,33,80,78,72,118,179,75,240,0.0,115,103,228.0,155.0
08:00:00,50,190,143,365,,86,318.0,215,153,115,52,88,50,45.0,44,85,305,42,86,62,78,167,403,87,305,82.0,118,102,224.0,143.0
09:00:00,55,157,190,363,,95,308.0,213,170,121,92,92,38,40.0,45,140,312,52,92,53,150,223,500,107,247,102.0,130,115,207.0,170.0
10:00:00,54,193,240,301,,95,297.0,197,232,122,115,85,41,35.0,56,91,280,73,82,55,103,141,500,143,306,122.0,180,115,217.0,209.0
11:00:00,51,118,240,133,50.0,139,173.0,223,293,138,120,90,59,,72,77,203,91,67,40,66,143,456,108,199,137.0,197,121,175.0,348.0
12:00:00,60,109,240,138,88.0,188,157.0,209,294,157,135,121,75,62.0,102,86,95,66,50,40,53,141,292,105,181,0.0,210,154,181.0,369.0
13:00:00,73,111,136,130,120.0,201,131.0,202,284,169,153,119,61,93.0,116,98,78,57,51,43,53,134,158,130,185,196.0,157,156,186.0,239.0
14:00:00,75,109,176,145,131.0,194,140.0,213,279,171,163,117,89,148.0,119,83,74,66,50,47,50,144,174,153,175,174.0,161,169,177.0,245.0
15:00:00,88,104,249,157,145.0,201,,255,293,174,183,107,92,147.0,137,63,91,67,47,49,58,134,200,175,173,136.0,171,172,165.0,
16:00:00,98,109,233,174,166.0,187,,292,334,210,226,102,70,130.0,162,63,58,63,62,52,71,140,203,168,163,128.0,165,155,177.0,418.0
17:00:00,96,102,181,208,157.0,160,128.0,406,308,215,243,83,84,131.0,171,92,63,60,56,58,80,137,197,233,157,0.0,165,151,183.0,494.0
18:00:00,108,90,172,161,131.0,134,125.0,436,329,213,260,78,94,138.0,240,71,68,55,53,60,86,135,186,270,163,141.0,161,160,171.0,500.0
19:00:00,98,72,137,298,188.0,133,133.0,472,282,202,238,81,104,125.0,206,62,68,54,54,52,84,139,168,105,182,136.0,171,194,184.0,478.0
20:00:00,74,78,140,57,101.0,125,139.0,488,248,179,243,69,102,124.0,116,77,79,50,41,43,79,155,146,119,448,120.0,167,162,178.0,441.0
21:00:00,94,64,160,68,104.0,141,177.0,500,245,139,204,73,105,141.0,131,91,103,39,44,45,85,190,179,107,87,134.0,164,170,197.0,407.0
22:00:00,102,77,213,133,107.0,137,201.0,500,261,113,163,256,140,135.0,124,117,108,51,35,61,101,194,171,104,91,163.0,151,197,217.0,400.0
23:00:00,105,90,303,240,109.0,172,210.0,500,336,102,119,101,133,108.0,129,100,89,50,48,63,109,175,191,109,107,,155,170,196.0,389.0
