Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00:00,50,57,95.0,69,100,187.0,143.0,59.0,89,81,81,58,104,81,108,108,103,147,131,103,104,106,98,75.0,,97,102,150,141,96
01:00:00,47,70,62.0,67,75,163.0,89.0,77.0,77,86,53,29,108,96,107,93,85,119,107,97,102,101,92,90.0,,101,102,143,135,88
02:00:00,57,77,84.0,57,68,213.0,80.0,79.0,69,78,73,31,83,51,73,70,55,100,89,70,68,46,47,83.0,,57,105,160,117,83
03:00:00,62,143,,183,58,143.0,69.0,52.0,62,161,45,27,61,31,56,57,45,113,100,57,57,36,38,27.0,,52,109,150,97,74
04:00:00,69,147,,85,64,110.0,63.0,53.0,45,73,44,27,78,48,68,74,45,45,143,50,48,40,34,23.0,,70,109,130,73,61
05:00:00,59,80,,83,66,157.0,63.0,68.0,55,147,43,58,85,51,56,97,48,75,101,40,42,180,29,24.0,,59,83,118,56,47
06:00:00,55,78,,81,68,175.0,70.0,,62,42,48,68,99,61,62,92,68,68,90,46,44,155,50,31.0,,72,72,127,53,57
07:00:00,48,63,25.0,59,89,199.0,52.0,,62,45,45,68,84,72,63,78,72,59,105,91,45,114,53,38.0,,74,68,127,61,55
08:00:00,53,60,35.0,29,95,200.0,52.0,,66,80,29,70,94,91,35,96,56,68,92,164,62,112,58,59.0,61.0,74,72,160,77,75
09:00:00,33,33,48.0,43,105,163.0,77.0,,57,78,32,83,109,90,56,107,58,75,84,207,61,84,73,77.0,92.0,92,213,247,105,91
10:00:00,38,47,66.0,87,80,223.0,,,68,81,32,58,111,99,69,52,57,67,57,104,61,57,77,94.0,140.0,97,140,160,85,82
11:00:00,62,62,99.0,61,54,69.0,,47.0,79,85,28,51,113,101,51,29,58,69,50,91,50,42,63,80.0,133.0,110,102,104,78,78
12:00:00,52,60,123.0,72,68,52.0,107.0,68.0,84,84,47,48,104,89,56,64,56,73,55,97,50,59,55,96.0,78.0,111,94,91,62,67
13:00:00,60,65,65.0,74,76,62.0,99.0,62.0,86,73,57,99,94,86,74,58,56,67,71,79,61,52,55,63.0,69.0,102,167,65,61,82
14:00:00,32,79,70.0,105,63,95.0,,56.0,62,72,40,62,101,85,73,62,73,66,73,65,64,60,52,79.0,58.0,72,143,68,65,87
15:00:00,26,68,80.0,67,73,107.0,99.0,61.0,56,72,48,136,84,91,81,63,80,77,77,73,83,88,65,61.0,68.0,74,100,69,65,118
16:00:00,25,55,51.0,34,84,138.0,,50.0,71,59,38,66,59,90,84,50,82,83,72,75,83,75,72,80.0,98.0,83,105,91,73,111
17:00:00,25,53,50.0,39,80,92.0,,,80,77,43,34,32,69,70,58,73,80,70,70,72,97,77,77.0,101.0,80,97,73,77,128
18:00:00,28,54,42.0,42,84,84.0,,,75,73,37,55,33,81,59,40,61,58,56,62,87,73,77,92.0,103.0,82,98,82,85,97
19:00:00,43,88,74.0,70,96,,108.0,90.0,86,95,50,84,45,86,73,65,78,72,63,60,70,62,68,106.0,105.0,104,104,95,85,99
20:00:00,72,97,74.0,103,96,,102.0,83.0,85,99,73,83,80,107,90,108,105,92,87,79,67,89,74,,107.0,127,117,113,123,92
21:00:00,70,110,72.0,110,131,155.0,100.0,113.0,102,101,98,104,88,131,104,114,131,123,87,97,100,87,69,,101.0,125,141,125,151,85
22:00:00,62,111,56.0,114,193,180.0,90.0,112.0,101,97,73,115,75,140,134,110,100,118,93,97,102,83,50,,106.0,131,219,109,153,92
23:00:00,57,98,80.0,112,203,233.0,90.0,101.0,96,101,73,105,80,133,115,105,103,122,102,104,107,92,58,,97.0,113,195,147,139,65
